VotePubkey,VoteCredits,ActivatedStake,Commission,Reward
42U2eB71MKU7mqVpy5b63meM7Pd4YBqwAGSDevjJ9E9z,360398,20251.99,10,0.92
GZCv21mPm7HNwiC5Hq3j1DXz4njDQownDAfN7xziXbjN,360807,18126.14,0,0.0
4TPBarwgZuuztwD7biHtt87L2BTmH4KjcePABijDeiyW,360506,8698.25,100,4.46
F4UVoVGgmd2aJwnfz3eojQ92P9AvYbRG51z1xnEj8tFy,361022,36409.71,0,0.0
Ev683W2Xe56cJDG9Ja5rZDSVgWk1e5NVug3iJUWP2VZL,360659,10059.07,100,5.06
6DVFiYKvmPRvYjins4LtRSiEm81CswtP5yHTpgPdtrgK,361149,7169.2,100,3.93
D6HbUn4FeyZWiY5ftTAxK1TXmvCLjBoPG9nRsr8z8y5g,360889,7372.21,0,0.0
J43U4RpHE4DX4XK1s9mvGYuYSL1ELPgK9eFPWdpA3j9y,360438,6876.48,100,4.08
G2Qvt31y3wQDqLvnZTf1Lj91JrZ8rKUhtCP5kVJxXS9,360862,144158.59,7,4.93
4khYzWBsGrBcvhQkA1UZbiMd51MaJ6zGgec563nqeP5A,360621,4369520.05,100,1986.44
2g2QU1NDRax6i2mKzRwgRfdBFoDkMC6bj7Zp5Q3i8sCq,358725,242675.55,0,0.0
2NxEEbhqqj1Qptq5LXLbDTP5tLa9f7PqkU8zNgxbGU9P,360664,151185.1,5,3.43
NipDoZC37aMQvv2fFq2moUyyiApQxszc7X4mvWHP2pZ,360700,305146.21,0,0.0
ApcUbFDskBMrYJqu9orEnPSq5uMAH1YjhwR4DP2JwKT8,360025,34986.99,7,1.1
5yHqB3NxovCEMUniQCboaPRMyyQ7kQQF4QqvC4vaz78z,360696,28866.34,0,0.0
8ty86LdqsnSW4fpbZRFaR1EfgB3eUknJVz8BKY5izoWy,360575,54440.34,10,2.47
F1FkySZudpAUwfzcgrGVJTrQKFGg2bxBMJooNhRX1RBB,360567,33197.21,5,1.17
3P2Fq9v1NwtrVTnwPGj2qVdVwnSvuNovZJWGS7nRvoin,360430,60458.41,0,0.0
73ckp5sRXUBqfEibK2TdCeArUpdFyw4mvq6QtTjMfuZD,350915,15973.99,0,0.0
ENVaKoD7ytn58xJ8s5htFfQ8hqQt1G9dcPUDqbSwVcgB,361252,71124.2,7,2.47
3CnKZPQn92W8WXG7KTVaFQRk8LJJ3KZbrVVF4ngUxqkg,360200,53566.74,0,0.0
C9YVc5dBPRbmyi8tPJKnrBuVwXeULby1eGXWvUVv866a,360853,290788.89,0,0.0
HqMYqwdCRqUDfpg7sVJZxTVXRfxTAQv6r9CZajtJZzv8,350153,12660.1,0,0.0
8sqpHTT3B8kLto6Vb98bNP93MVuRuPKdcUAwZaP6xuYs,358174,12927.33,100,6.17
DMPhNJFSvi34NmfcqR4B5rdKgDYY3kZbXpdXJBL4cJ1q,359889,85511.08,7,2.77
9gY4S2LkL6QJwBU7hpDFEMKcvb7tvdqW29UfobazJG5i,361008,5968.99,0,0.0
JChWyNsSR66yf5Z7NbSZWgJ8xoj8JGymLHpEm2NpoHRR,360702,6952.7,100,3.55
EzLBurdF42av6P8rXPokkei1kKiKXQ7us3yNNX9qtc7E,327780,8082.06,100,4.64
7Uj2rdTRibv9Bu6ovCuBeJ8gyPPR22SEYD19kNEXf63w,345625,18230.64,7,1.95
8gGA1SZZ4ASou3mHm61T6vM4jskkjYzXFmbCLwtU3x3j,360644,15282.59,7,0.35
GAKLDmghREn6YHGu5y5vTHA9JJY1Nuxy7n8zz4RFzH3p,360425,52422.85,7,1.82
GdRKUZKdiXMEATjddQW6q4W8bPgXRBYJKayfeqdQcEPa,359952,55150.54,7,1.86
6fq69K3h91Jd8s8StttX5CkusubhTfLBQy7uaot6XSzk,360776,34654.45,7,1.1
95YsopyjvJQ7MedMy9AgKy8dL8vXxKNiY1Ath52WSHb7,360991,9819.64,100,4.85
CtiiCQbRh13cqorWaEimroRznTL2qTytNhzYz53BCnbq,360635,54404.09,7,1.87
2ayMCC4aizr8RGg5ptXYqu8uoxW1whNek1hE1zaAd58z,360856,408877.43,6,10.99
6zzAPhyFZgS6rdknHNZLcsoooZ744GtVmTDyfvRmN37Q,352870,50119.82,10,2.23
GqvPcJeVFuPit75RaFF2FuDo6jWS2E49DtJSyanzwcEs,360329,52513.99,7,1.87
DXv73X82WCjVMsqDszK3z764tTJMU3nPXyCU3UktudBG,360865,41030.76,7,1.33
FjkSLYmi6BJAJQn1iSLUGrPrBQjMaD4y1DVdnv3yaTsX,359873,2083334.28,100,945.15
2uXzxR2EZVaHE3CuaDaUJ8C9Qr54LMfwkY5BtRPAzbPE,359811,2502391.14,100,1135.06
97DsFuV8H6RiFXSXds1k4RscrLPbbDnxG2CW7wDwqrZn,360647,48448.73,7,1.69
9BUaTrUWHVpwq4mN5YTWLD5cYy3UtyRSwzg5v2hyNFNm,360965,41666.3,0,0.0
74PrnaiKU5q8SJX4H9Jis7xyzMUNoSesizn7FhFZaxfG,360763,45233.82,0,1.56
4qdXKJc1hQcwBVx4hdPFCG6p7fEXKbgp5P1HkcZn9Atc,360184,34618.25,7,1.09
AKwLPtEbA5EDJ7dapH8p62gbhVC1dLNAp2DqyZMSPjJC,360637,9364.14,100,4.74
jKDESr1NRt5frYqhBfBZdEJezXfuWifjfTaTWRZFvW3,360980,42025.14,7,1.38
E8HaKuUc4cFesdgh8WhVvoAN98iWKPCLpxyX2rCphFzW,360688,39194.61,7,1.24
FE1asX5GjBTUEHwdFg8XziDh3phxhkDp8Fbh16wr6vGY,360552,7538.62,100,4.07
DXjujkbMhAvkaygmjLbi7UGdovAs2AU6y45UMEqxhEnw,360155,44881.18,7,1.87
5mUKu45ufC2wHqt9fvpZDLgGxb4ErfHz1E6kNfj4ivDt,360773,10739.21,100,5.21
